species	clade	locomotor_mode	SVL	ESD	fem_length	tib_length	calc_length	foot_length
97	Basal	WH	38.59	3.22	13.35	13.6	7.25	13.77
98	Ranoidea	WH	32.01	2.43	10.53	11.16	7.11	12.88
99	Hyloidea	BWH	26.94	2.75	8.1	8.28	5.36	7.21
100	Ranoidea	TJ	26.74	0.68	11.41	12.54	5.93	11.37
101	Neobatrachia	BWH	101.16	3.27	52.64	63.25	25.03	51.06
102	Neobatrachia	BWH	88.85	3.98	28.73	25.7	13.19	34.81
103	Ranoidea	TJ	34.32	0.89	14.9	17.49	8.35	16.55
104	Neobatrachia	BWH	50.29	1.97	15.89	14.85	8.05	19.45
105	Hyloidea	TJ	27.24	0.56	10.84	12.28	6.5	12.18
106	Ranoidea	TJ	23.91	0.79	10.39	10.86	5.59	10.17
107	Ranoidea	TJ	31.61	0.81	13.17	12.87	6.84	12.58
108	Hyloidea	AJ	62.44	3.14	26.98	30.4	18.19	22.67
109	Ranoidea	AJ	38.39	0.98	17.75	19.27	10.16	13.54
110	Ranoidea	AQ	47.96	1.48	19.34	19.44	9.46	19.61
111	Ranoidea	TJ	58.55	1.35	24.17	25.62	12.44	20.96
112	Hyloidea	WH	62.88	2.41	18.11	17.21	9.02	23.01
113	Hyloidea	TJ	35.32	0.8	13.81	14.96	7.1	14.79
114	Hyloidea	AJ	84.22	5.59	33.9	37.38	21.05	28.37
115	Ranoidea	TJ	54.38	4.23	16.92	18.12	10.08	15.95
116	Ranoidea	TJ	9.45	0.73	3.89	3.88	2.6	3.15
117	Ranoidea	BWH	31.19	1.65	12.43	13.68	6.67	12.79
118	Ranoidea	BWH	23.25	1.55	7.2	7.04	4.01	8.75
119	Basal	BWH	60.31	12.08	20.78	18.05	9.04	27.13
120	Basal	BWH	44.53	9.44	19.47	21.97	12.84	23.87
121	Ranoidea	TJ	50.08	1.35	22.73	26.43	13.69	20.75
122	Ranoidea	AJ	44.73	0.99	21.39	24.12	12.69	16.77
123	Ranoidea	WH	53.68	1.81	17.03	18.26	9.47	20.94
124	Ranoidea	TJ	43.4	1.28	18.49	19.55	8.67	19.90
125	Ranoidea	BWH	36.47	3.81	9.78	9.52	6.16	10.29
126	Hyloidea	TJ	41.81	1.07	18.05	19.24	10.91	16.68
127	Hyloidea	AJ	24.26	1.09	10.17	11.34	7.05	7.73
128	Hyloidea	TJ	15.97	0.34	6.11	6.42	3.86	5.67
129	Basal	AQ	37.62	9.61	14.29	14.28	8.22	15.76
130	Ranoidea	TJ	24.95	0.58	10.43	12.02	6.81	9.80
131	Hyloidea	WH	42.71	1.97	13.54	12.98	5.97	14.85
132	Ranoidea	AJ	73.05	1.72	33.01	35.31	17.74	27.33
133	Ranoidea	BWH	27.5	0.84	9.59	9.74	5.52	11.39
134	Ranoidea	BWH	54.62	4.35	17.79	17.17	10.37	18.12
135	Hyloidea	WH	54.81	2.27	18.32	18.08	9.57	17.42
136	Hyloidea	TJ	33.49	1.32	12.16	13.14	8.72	15.22
137	Hyloidea	TJ	15.73	0.52	6.03	7.06	3.65	8.03
138	Ranoidea	TJ	53.35	1.44	27.45	33.98	13.38	30.43
139	Ranoidea	BWH	127.95	3.87	40.19	37.11	19.89	36.56
140	Ranoidea	TJ	79.13	2.02	29.56	34.19	17.48	39.75
141	Ranoidea	WH	27.95	0.78	8.92	8.57	5.49	9.36
142	Neobatrachia	AQ	50.52	4.31	18.52	17.23	10.42	19.03
143	Hyloidea	WH	25.47	1.43	9.57	10.38	5.64	10.82
144	Basal	BWH	45.42	3.22	13.94	11.84	5.51	18.09
145	Basal	BWH	56.06	5.77	17.61	15.62	8.4	19.28
146	Hyloidea	WH	51.73	4.95	18.95	19.41	10.67	15.96
147	Neobatrachia	TJ	12.53	0.98	4.35	4.93	3.34	4.06
148	Neobatrachia	TJ	19.69	1.14	7.5	7.58	5.31	7.22
149	Basal	BWH	56.06	3.39	20.34	18.41	9.62	24.02
150	Ranoidea	BWH	39.36	3.16	10.67	8.93	4.96	10.04
151	Hyloidea	AJ	73.78	2.16	37.88	42.42	24.2	33.03
152	Hyloidea	TJ	37.66	0.95	16.14	17.84	8.39	17.36
153	Ranoidea	BWH	27.81	2.31	8.75	9.49	5.2	8.86
154	Hyloidea	AQ	74.17	3.29	28.6	28.9	15.68	31.01
155	Hyloidea	AJ	38.59	1.39	16.38	18.46	11.23	12.34
156	Hyloidea	TJ	66.65	4.35	31.27	35.52	17.22	31.30
157	Ranoidea	BWH	47.58	1.64	16.94	17.17	8.7	20.77
158	Ranoidea	BWH	25.48	0.7	7.69	8.12	4.35	7.90
159	Hyloidea	AJ	65.43	2.61	26.4	28.58	16.64	23.02
160	Hyloidea	AJ	68.49	3.98	31.13	33.32	21.4	28.56
161	Ranoidea	BWH	60.02	5.79	19.68	17.93	8.9	22.85
162	Ranoidea	TJ	33.12	0.92	16.03	18.34	9.35	15.51
163	Basal	AQ	48.88	9.52	17.65	19.86	11.36	17.73
164	Hyloidea	TJ	30.54	1.31	11.2	11.09	6.41	10.79
